,date,cnt,day_of_week,date_fix,month
612,544,218,6,2014-09-06,2014-09-01
613,-1,0,7,2014-09-07,2014-09-01
614,-1,0,1,2014-09-08,2014-09-01
615,545,4044,2,2014-09-09,2014-09-01
616,546,2265,3,2014-09-10,2014-09-01
617,547,1602,4,2014-09-11,2014-09-01
618,548,2033,5,2014-09-12,2014-09-01
619,549,317,6,2014-09-13,2014-09-01
620,-1,0,7,2014-09-14,2014-09-01
621,550,2209,1,2014-09-15,2014-09-01
622,551,2231,2,2014-09-16,2014-09-01
623,552,1190,3,2014-09-17,2014-09-01
624,553,1413,4,2014-09-18,2014-09-01
625,554,2097,5,2014-09-19,2014-09-01
626,555,205,6,2014-09-20,2014-09-01
627,-1,0,7,2014-09-21,2014-09-01
628,556,2156,1,2014-09-22,2014-09-01
629,557,2219,2,2014-09-23,2014-09-01
630,558,1801,3,2014-09-24,2014-09-01
631,559,1657,4,2014-09-25,2014-09-01
632,560,2965,5,2014-09-26,2014-09-01
633,561,382,6,2014-09-27,2014-09-01
634,562,1268,7,2014-09-28,2014-09-01
635,563,2915,1,2014-09-29,2014-09-01
636,564,3137,2,2014-09-30,2014-09-01
637,565,132,3,2014-10-01,2014-10-01
638,-1,0,4,2014-10-02,2014-10-01
639,-1,0,5,2014-10-03,2014-10-01
640,-1,0,6,2014-10-04,2014-10-01
641,-1,0,7,2014-10-05,2014-10-01
642,566,52,1,2014-10-06,2014-10-01
643,567,15,2,2014-10-07,2014-10-01
644,568,4783,3,2014-10-08,2014-10-01
645,569,2396,4,2014-10-09,2014-10-01
646,570,2454,5,2014-10-10,2014-10-01
647,571,1964,6,2014-10-11,2014-10-01
648,572,35,7,2014-10-12,2014-10-01
649,573,3096,1,2014-10-13,2014-10-01
650,574,2441,2,2014-10-14,2014-10-01
651,575,2282,3,2014-10-15,2014-10-01
652,576,1467,4,2014-10-16,2014-10-01
653,577,1432,5,2014-10-17,2014-10-01
654,578,193,6,2014-10-18,2014-10-01
655,-1,0,7,2014-10-19,2014-10-01
656,579,1792,1,2014-10-20,2014-10-01
657,580,2085,2,2014-10-21,2014-10-01
658,581,1967,3,2014-10-22,2014-10-01
659,582,1312,4,2014-10-23,2014-10-01
660,583,1381,5,2014-10-24,2014-10-01
661,584,218,6,2014-10-25,2014-10-01
662,-1,0,7,2014-10-26,2014-10-01
663,585,1993,1,2014-10-27,2014-10-01
664,586,2389,2,2014-10-28,2014-10-01
665,587,2061,3,2014-10-29,2014-10-01
666,588,2394,4,2014-10-30,2014-10-01
667,589,1579,5,2014-10-31,2014-10-01
668,590,15,6,2014-11-01,2014-11-01
669,-1,0,7,2014-11-02,2014-11-01
670,591,2136,1,2014-11-03,2014-11-01
671,592,1946,2,2014-11-04,2014-11-01
672,593,1762,3,2014-11-05,2014-11-01
673,594,1342,4,2014-11-06,2014-11-01
674,595,1718,5,2014-11-07,2014-11-01
675,596,256,6,2014-11-08,2014-11-01
676,-1,0,7,2014-11-09,2014-11-01
677,597,2041,1,2014-11-10,2014-11-01
678,598,1692,2,2014-11-11,2014-11-01
679,599,1867,3,2014-11-12,2014-11-01
680,600,1085,4,2014-11-13,2014-11-01
681,601,1932,5,2014-11-14,2014-11-01
682,602,245,6,2014-11-15,2014-11-01
683,603,22,7,2014-11-16,2014-11-01
684,604,2175,1,2014-11-17,2014-11-01
685,605,2356,2,2014-11-18,2014-11-01
686,606,1869,3,2014-11-19,2014-11-01
687,607,1468,4,2014-11-20,2014-11-01
688,608,1756,5,2014-11-21,2014-11-01
689,609,246,6,2014-11-22,2014-11-01
690,-1,0,7,2014-11-23,2014-11-01
691,610,1863,1,2014-11-24,2014-11-01
692,611,2242,2,2014-11-25,2014-11-01
693,612,1585,3,2014-11-26,2014-11-01
694,613,1243,4,2014-11-27,2014-11-01
695,614,1409,5,2014-11-28,2014-11-01
696,615,344,6,2014-11-29,2014-11-01
697,-1,0,7,2014-11-30,2014-11-01
698,616,2294,1,2014-12-01,2014-12-01
699,617,1778,2,2014-12-02,2014-12-01
700,618,1755,3,2014-12-03,2014-12-01
701,619,1641,4,2014-12-04,2014-12-01
702,620,1459,5,2014-12-05,2014-12-01
703,621,261,6,2014-12-06,2014-12-01
704,-1,0,7,2014-12-07,2014-12-01
705,622,2024,1,2014-12-08,2014-12-01
706,623,2490,2,2014-12-09,2014-12-01
707,624,1504,3,2014-12-10,2014-12-01
708,625,1695,4,2014-12-11,2014-12-01
709,626,1706,5,2014-12-12,2014-12-01
710,627,138,6,2014-12-13,2014-12-01
711,-1,0,7,2014-12-14,2014-12-01
712,628,2113,1,2014-12-15,2014-12-01
713,629,2036,2,2014-12-16,2014-12-01
714,630,1729,3,2014-12-17,2014-12-01
715,631,1332,4,2014-12-18,2014-12-01
716,632,1977,5,2014-12-19,2014-12-01
717,633,186,6,2014-12-20,2014-12-01
718,-1,0,7,2014-12-21,2014-12-01
719,634,1593,1,2014-12-22,2014-12-01
720,635,3091,2,2014-12-23,2014-12-01
721,636,1960,3,2014-12-24,2014-12-01
722,637,769,4,2014-12-25,2014-12-01
723,638,1844,5,2014-12-26,2014-12-01
724,639,140,6,2014-12-27,2014-12-01
725,640,25,7,2014-12-28,2014-12-01
726,641,2167,1,2014-12-29,2014-12-01
727,642,1292,2,2014-12-30,2014-12-01
728,643,1278,3,2014-12-31,2014-12-01
729,644,75,4,2015-01-01,2015-01-01
730,-1,0,5,2015-01-02,2015-01-01
731,-1,0,6,2015-01-03,2015-01-01
732,645,7063,7,2015-01-04,2015-01-01
733,646,5804,1,2015-01-05,2015-01-01
734,647,7226,2,2015-01-06,2015-01-01
735,648,3616,3,2015-01-07,2015-01-01
736,649,5742,4,2015-01-08,2015-01-01
737,650,4501,5,2015-01-09,2015-01-01
738,651,796,6,2015-01-10,2015-01-01
739,-1,0,7,2015-01-11,2015-01-01
740,652,4259,1,2015-01-12,2015-01-01
741,653,3472,2,2015-01-13,2015-01-01
742,654,2482,3,2015-01-14,2015-01-01
743,655,2722,4,2015-01-15,2015-01-01
744,656,2869,5,2015-01-16,2015-01-01
745,657,448,6,2015-01-17,2015-01-01
746,658,24,7,2015-01-18,2015-01-01
747,659,3425,1,2015-01-19,2015-01-01
748,660,2794,2,2015-01-20,2015-01-01
749,661,2954,3,2015-01-21,2015-01-01
750,662,2501,4,2015-01-22,2015-01-01
751,663,2883,5,2015-01-23,2015-01-01
752,664,699,6,2015-01-24,2015-01-01
753,665,24,7,2015-01-25,2015-01-01
754,666,2692,1,2015-01-26,2015-01-01
755,667,3526,2,2015-01-27,2015-01-01
756,668,3877,3,2015-01-28,2015-01-01
757,669,2546,4,2015-01-29,2015-01-01
758,670,2709,5,2015-01-30,2015-01-01
759,671,471,6,2015-01-31,2015-01-01
760,-1,0,7,2015-02-01,2015-02-01
761,672,3469,1,2015-02-02,2015-02-01
762,673,3498,2,2015-02-03,2015-02-01
763,674,3835,3,2015-02-04,2015-02-01
764,675,2530,4,2015-02-05,2015-02-01
765,676,2564,5,2015-02-06,2015-02-01
766,677,367,6,2015-02-07,2015-02-01
767,-1,0,7,2015-02-08,2015-02-01
768,678,4217,1,2015-02-09,2015-02-01
769,679,4630,2,2015-02-10,2015-02-01
770,680,3877,3,2015-02-11,2015-02-01
771,681,4141,4,2015-02-12,2015-02-01
772,682,3701,5,2015-02-13,2015-02-01
773,683,652,6,2015-02-14,2015-02-01
774,684,2663,7,2015-02-15,2015-02-01
775,685,4903,1,2015-02-16,2015-02-01
776,686,2040,2,2015-02-17,2015-02-01
777,-1,0,3,2015-02-18,2015-02-01
778,-1,0,4,2015-02-19,2015-02-01
779,-1,0,5,2015-02-20,2015-02-01
780,-1,0,6,2015-02-21,2015-02-01
781,-1,0,7,2015-02-22,2015-02-01
782,-1,0,1,2015-02-23,2015-02-01
783,687,23,2,2015-02-24,2015-02-01
784,688,4712,3,2015-02-25,2015-02-01
785,689,4395,4,2015-02-26,2015-02-01
786,690,3661,5,2015-02-27,2015-02-01
787,691,2073,6,2015-02-28,2015-02-01
788,-1,0,7,2015-03-01,2015-03-01
789,692,4832,1,2015-03-02,2015-03-01
790,693,4032,2,2015-03-03,2015-03-01
791,694,2054,3,2015-03-04,2015-03-01
792,695,1477,4,2015-03-05,2015-03-01
793,696,1808,5,2015-03-06,2015-03-01
794,697,290,6,2015-03-07,2015-03-01
795,-1,0,7,2015-03-08,2015-03-01
796,698,2028,1,2015-03-09,2015-03-01
797,699,2479,2,2015-03-10,2015-03-01
798,700,1426,3,2015-03-11,2015-03-01
799,701,1693,4,2015-03-12,2015-03-01
800,702,1626,5,2015-03-13,2015-03-01
801,703,236,6,2015-03-14,2015-03-01
802,-1,0,7,2015-03-15,2015-03-01
803,704,2508,1,2015-03-16,2015-03-01
804,705,2491,2,2015-03-17,2015-03-01
805,706,1907,3,2015-03-18,2015-03-01
806,707,1524,4,2015-03-19,2015-03-01
807,708,1664,5,2015-03-20,2015-03-01
808,709,948,6,2015-03-21,2015-03-01
809,-1,0,7,2015-03-22,2015-03-01
810,710,2617,1,2015-03-23,2015-03-01
811,711,2325,2,2015-03-24,2015-03-01
812,712,2451,3,2015-03-25,2015-03-01
813,713,1140,4,2015-03-26,2015-03-01
814,714,1696,5,2015-03-27,2015-03-01
815,715,376,6,2015-03-28,2015-03-01
816,-1,0,7,2015-03-29,2015-03-01
817,716,2280,1,2015-03-30,2015-03-01
818,717,2007,2,2015-03-31,2015-03-01
819,718,1784,3,2015-04-01,2015-04-01
820,719,1102,4,2015-04-02,2015-04-01
821,720,1902,5,2015-04-03,2015-04-01
822,721,55,6,2015-04-04,2015-04-01
823,-1,0,7,2015-04-05,2015-04-01
824,722,13,1,2015-04-06,2015-04-01
825,723,3380,2,2015-04-07,2015-04-01
826,724,2690,3,2015-04-08,2015-04-01
827,725,1348,4,2015-04-09,2015-04-01
828,726,2035,5,2015-04-10,2015-04-01
829,727,139,6,2015-04-11,2015-04-01
830,728,20,7,2015-04-12,2015-04-01
831,729,2044,1,2015-04-13,2015-04-01
832,730,2024,2,2015-04-14,2015-04-01
833,731,1455,3,2015-04-15,2015-04-01
834,732,1354,4,2015-04-16,2015-04-01
835,733,1310,5,2015-04-17,2015-04-01
836,734,275,6,2015-04-18,2015-04-01
837,-1,0,7,2015-04-19,2015-04-01
838,735,2424,1,2015-04-20,2015-04-01
839,736,2985,2,2015-04-21,2015-04-01
840,737,2014,3,2015-04-22,2015-04-01
841,738,1105,4,2015-04-23,2015-04-01
842,739,1524,5,2015-04-24,2015-04-01
843,740,378,6,2015-04-25,2015-04-01
844,-1,0,7,2015-04-26,2015-04-01
845,741,2491,1,2015-04-27,2015-04-01
846,742,2830,2,2015-04-28,2015-04-01
847,743,2155,3,2015-04-29,2015-04-01
848,744,2017,4,2015-04-30,2015-04-01
849,745,27,5,2015-05-01,2015-05-01
850,-1,0,6,2015-05-02,2015-05-01
851,-1,0,7,2015-05-03,2015-05-01
852,746,3150,1,2015-05-04,2015-05-01
853,747,2383,2,2015-05-05,2015-05-01
854,748,2824,3,2015-05-06,2015-05-01
855,749,1876,4,2015-05-07,2015-05-01
856,750,2054,5,2015-05-08,2015-05-01
857,751,321,6,2015-05-09,2015-05-01
858,-1,0,7,2015-05-10,2015-05-01
859,752,2384,1,2015-05-11,2015-05-01
860,753,2472,2,2015-05-12,2015-05-01
861,754,1881,3,2015-05-13,2015-05-01
862,755,1816,4,2015-05-14,2015-05-01
863,756,1361,5,2015-05-15,2015-05-01
864,757,314,6,2015-05-16,2015-05-01
865,-1,0,7,2015-05-17,2015-05-01
866,758,3309,1,2015-05-18,2015-05-01
867,759,1948,2,2015-05-19,2015-05-01
868,760,1722,3,2015-05-20,2015-05-01
869,761,1520,4,2015-05-21,2015-05-01
870,762,2232,5,2015-05-22,2015-05-01
871,763,497,6,2015-05-23,2015-05-01
872,-1,0,7,2015-05-24,2015-05-01
873,764,2037,1,2015-05-25,2015-05-01
874,765,2246,2,2015-05-26,2015-05-01
875,766,1447,3,2015-05-27,2015-05-01
876,767,1478,4,2015-05-28,2015-05-01
877,768,1631,5,2015-05-29,2015-05-01
878,769,128,6,2015-05-30,2015-05-01
879,-1,0,7,2015-05-31,2015-05-01
880,770,2102,1,2015-06-01,2015-06-01
881,771,2114,2,2015-06-02,2015-06-01
882,772,1964,3,2015-06-03,2015-06-01
883,773,1427,4,2015-06-04,2015-06-01
884,774,1416,5,2015-06-05,2015-06-01
885,775,319,6,2015-06-06,2015-06-01
886,-1,0,7,2015-06-07,2015-06-01
887,776,2147,1,2015-06-08,2015-06-01
888,777,1925,2,2015-06-09,2015-06-01
889,778,1668,3,2015-06-10,2015-06-01
890,779,1692,4,2015-06-11,2015-06-01
891,780,1517,5,2015-06-12,2015-06-01
892,781,381,6,2015-06-13,2015-06-01
893,-1,0,7,2015-06-14,2015-06-01
894,782,2327,1,2015-06-15,2015-06-01
895,783,1926,2,2015-06-16,2015-06-01
896,784,1387,3,2015-06-17,2015-06-01
897,785,1533,4,2015-06-18,2015-06-01
898,786,1946,5,2015-06-19,2015-06-01
899,787,89,6,2015-06-20,2015-06-01
900,-1,0,7,2015-06-21,2015-06-01
901,-1,0,1,2015-06-22,2015-06-01
902,788,3157,2,2015-06-23,2015-06-01
903,789,1933,3,2015-06-24,2015-06-01
904,790,1257,4,2015-06-25,2015-06-01
905,791,2051,5,2015-06-26,2015-06-01
906,792,472,6,2015-06-27,2015-06-01
907,-1,0,7,2015-06-28,2015-06-01
908,793,2031,1,2015-06-29,2015-06-01
909,794,1465,2,2015-06-30,2015-06-01
910,795,2291,3,2015-07-01,2015-07-01
911,796,1380,4,2015-07-02,2015-07-01
912,797,1659,5,2015-07-03,2015-07-01
913,798,401,6,2015-07-04,2015-07-01
914,-1,0,7,2015-07-05,2015-07-01
915,799,2248,1,2015-07-06,2015-07-01
916,800,3005,2,2015-07-07,2015-07-01
917,801,2281,3,2015-07-08,2015-07-01
918,802,1062,4,2015-07-09,2015-07-01
919,803,1675,5,2015-07-10,2015-07-01
920,804,304,6,2015-07-11,2015-07-01
921,-1,0,7,2015-07-12,2015-07-01
922,805,2034,1,2015-07-13,2015-07-01
923,806,2520,2,2015-07-14,2015-07-01
924,807,1944,3,2015-07-15,2015-07-01
925,808,1398,4,2015-07-16,2015-07-01
926,809,1384,5,2015-07-17,2015-07-01
927,810,288,6,2015-07-18,2015-07-01
928,-1,0,7,2015-07-19,2015-07-01
929,811,1804,1,2015-07-20,2015-07-01
930,812,2255,2,2015-07-21,2015-07-01
931,813,1893,3,2015-07-22,2015-07-01
932,814,1193,4,2015-07-23,2015-07-01
933,815,1907,5,2015-07-24,2015-07-01
934,816,185,6,2015-07-25,2015-07-01
935,-1,0,7,2015-07-26,2015-07-01
936,817,1304,1,2015-07-27,2015-07-01
937,818,2076,2,2015-07-28,2015-07-01
938,819,1754,3,2015-07-29,2015-07-01
939,820,1155,4,2015-07-30,2015-07-01
940,821,1613,5,2015-07-31,2015-07-01
941,822,410,6,2015-08-01,2015-08-01
942,-1,0,7,2015-08-02,2015-08-01
943,823,2437,1,2015-08-03,2015-08-01
944,824,2596,2,2015-08-04,2015-08-01
945,825,1823,3,2015-08-05,2015-08-01
946,826,1951,4,2015-08-06,2015-08-01
947,827,1983,5,2015-08-07,2015-08-01
948,828,297,6,2015-08-08,2015-08-01
949,-1,0,7,2015-08-09,2015-08-01
950,829,2186,1,2015-08-10,2015-08-01
951,830,1608,2,2015-08-11,2015-08-01
952,831,2334,3,2015-08-12,2015-08-01
953,832,2051,4,2015-08-13,2015-08-01
954,833,1795,5,2015-08-14,2015-08-01
955,834,346,6,2015-08-15,2015-08-01
956,-1,0,7,2015-08-16,2015-08-01
957,835,1926,1,2015-08-17,2015-08-01
958,836,1902,2,2015-08-18,2015-08-01
959,837,1604,3,2015-08-19,2015-08-01
960,838,1357,4,2015-08-20,2015-08-01
961,839,1893,5,2015-08-21,2015-08-01
962,840,227,6,2015-08-22,2015-08-01
963,841,24,7,2015-08-23,2015-08-01
964,842,2270,1,2015-08-24,2015-08-01
965,843,2200,2,2015-08-25,2015-08-01
966,844,1738,3,2015-08-26,2015-08-01
967,845,1327,4,2015-08-27,2015-08-01
968,846,1254,5,2015-08-28,2015-08-01
969,847,498,6,2015-08-29,2015-08-01
970,848,20,7,2015-08-30,2015-08-01
971,849,2616,1,2015-08-31,2015-08-01
972,850,2477,2,2015-09-01,2015-09-01
973,851,2305,3,2015-09-02,2015-09-01
974,852,12,4,2015-09-03,2015-09-01
975,-1,0,5,2015-09-04,2015-09-01
976,-1,0,6,2015-09-05,2015-09-01
977,853,3354,7,2015-09-06,2015-09-01
978,854,1800,1,2015-09-07,2015-09-01
979,855,2684,2,2015-09-08,2015-09-01
980,856,1475,3,2015-09-09,2015-09-01
981,857,1783,4,2015-09-10,2015-09-01
982,858,1625,5,2015-09-11,2015-09-01
983,859,309,6,2015-09-12,2015-09-01
984,-1,0,7,2015-09-13,2015-09-01
985,860,1990,1,2015-09-14,2015-09-01
986,861,2256,2,2015-09-15,2015-09-01
987,862,2032,3,2015-09-16,2015-09-01
988,863,1183,4,2015-09-17,2015-09-01
989,864,1565,5,2015-09-18,2015-09-01
990,865,254,6,2015-09-19,2015-09-01
991,-1,0,7,2015-09-20,2015-09-01
992,866,1983,1,2015-09-21,2015-09-01
993,867,2445,2,2015-09-22,2015-09-01
994,868,2312,3,2015-09-23,2015-09-01
995,869,1510,4,2015-09-24,2015-09-01
996,870,2380,5,2015-09-25,2015-09-01
997,871,61,6,2015-09-26,2015-09-01
998,-1,0,7,2015-09-27,2015-09-01
999,872,3279,1,2015-09-28,2015-09-01
1000,873,3804,2,2015-09-29,2015-09-01
1001,874,3046,3,2015-09-30,2015-09-01
1002,-1,0,4,2015-10-01,2015-10-01
1003,875,13,5,2015-10-02,2015-10-01
1004,-1,0,6,2015-10-03,2015-10-01
1005,876,15,7,2015-10-04,2015-10-01
1006,-1,0,1,2015-10-05,2015-10-01
1007,-1,0,2,2015-10-06,2015-10-01
1008,877,88,3,2015-10-07,2015-10-01
1009,878,4354,4,2015-10-08,2015-10-01
1010,879,3418,5,2015-10-09,2015-10-01
1011,880,2489,6,2015-10-10,2015-10-01
1012,-1,0,7,2015-10-11,2015-10-01
1013,881,2584,1,2015-10-12,2015-10-01
1014,882,3546,2,2015-10-13,2015-10-01
1015,883,2458,3,2015-10-14,2015-10-01
1016,884,2065,4,2015-10-15,2015-10-01
1017,885,1816,5,2015-10-16,2015-10-01
1018,886,263,6,2015-10-17,2015-10-01
1019,887,28,7,2015-10-18,2015-10-01
1020,888,2407,1,2015-10-19,2015-10-01
1021,889,3639,2,2015-10-20,2015-10-01
1022,890,2551,3,2015-10-21,2015-10-01
1023,891,1925,4,2015-10-22,2015-10-01
1024,892,1989,5,2015-10-23,2015-10-01
1025,893,181,6,2015-10-24,2015-10-01
1026,-1,0,7,2015-10-25,2015-10-01
1027,894,2569,1,2015-10-26,2015-10-01
1028,895,2019,2,2015-10-27,2015-10-01
1029,896,1900,3,2015-10-28,2015-10-01
1030,897,1180,4,2015-10-29,2015-10-01
1031,898,1886,5,2015-10-30,2015-10-01
1032,899,322,6,2015-10-31,2015-10-01
1033,-1,0,7,2015-11-01,2015-11-01
1034,900,2615,1,2015-11-02,2015-11-01
1035,901,2594,2,2015-11-03,2015-11-01
1036,902,1760,3,2015-11-04,2015-11-01
1037,903,1590,4,2015-11-05,2015-11-01
1038,904,1994,5,2015-11-06,2015-11-01
1039,905,409,6,2015-11-07,2015-11-01
1040,906,24,7,2015-11-08,2015-11-01
1041,907,3017,1,2015-11-09,2015-11-01
1042,908,2538,2,2015-11-10,2015-11-01
1043,909,2019,3,2015-11-11,2015-11-01
1044,910,1667,4,2015-11-12,2015-11-01
1045,911,1876,5,2015-11-13,2015-11-01
1046,912,498,6,2015-11-14,2015-11-01
1047,-1,0,7,2015-11-15,2015-11-01
1048,913,2237,1,2015-11-16,2015-11-01
1049,914,2268,2,2015-11-17,2015-11-01
1050,915,1898,3,2015-11-18,2015-11-01
1051,916,1870,4,2015-11-19,2015-11-01
1052,917,2174,5,2015-11-20,2015-11-01
1053,918,540,6,2015-11-21,2015-11-01
1054,-1,0,7,2015-11-22,2015-11-01
1055,919,2397,1,2015-11-23,2015-11-01
1056,920,1947,2,2015-11-24,2015-11-01
1057,921,2057,3,2015-11-25,2015-11-01
1058,922,1860,4,2015-11-26,2015-11-01
1059,923,2270,5,2015-11-27,2015-11-01
1060,924,409,6,2015-11-28,2015-11-01
1061,-1,0,7,2015-11-29,2015-11-01
1062,925,3666,1,2015-11-30,2015-11-01
1063,926,2535,2,2015-12-01,2015-12-01
1064,927,2063,3,2015-12-02,2015-12-01
1065,928,1497,4,2015-12-03,2015-12-01
1066,929,2170,5,2015-12-04,2015-12-01
1067,930,312,6,2015-12-05,2015-12-01
1068,-1,0,7,2015-12-06,2015-12-01
1069,931,2228,1,2015-12-07,2015-12-01
1070,932,2098,2,2015-12-08,2015-12-01
1071,933,2725,3,2015-12-09,2015-12-01
1072,934,1491,4,2015-12-10,2015-12-01
1073,935,2140,5,2015-12-11,2015-12-01
1074,936,450,6,2015-12-12,2015-12-01
1075,-1,0,7,2015-12-13,2015-12-01
1076,937,2057,1,2015-12-14,2015-12-01
1077,938,2181,2,2015-12-15,2015-12-01
1078,939,2339,3,2015-12-16,2015-12-01
1079,940,1414,4,2015-12-17,2015-12-01
1080,941,2924,5,2015-12-18,2015-12-01
1081,942,482,6,2015-12-19,2015-12-01
1082,-1,0,7,2015-12-20,2015-12-01
1083,943,1611,1,2015-12-21,2015-12-01
1084,944,2771,2,2015-12-22,2015-12-01
1085,945,3477,3,2015-12-23,2015-12-01
1086,946,1565,4,2015-12-24,2015-12-01
1087,947,2158,5,2015-12-25,2015-12-01
1088,948,800,6,2015-12-26,2015-12-01
1089,949,15,7,2015-12-27,2015-12-01
1090,950,2555,1,2015-12-28,2015-12-01
1091,951,1839,2,2015-12-29,2015-12-01
1092,952,2331,3,2015-12-30,2015-12-01
1093,953,772,4,2015-12-31,2015-12-01
1094,954,70,5,2016-01-01,2016-01-01
1095,955,33,6,2016-01-02,2016-01-01
1096,-1,0,7,2016-01-03,2016-01-01
1097,956,6421,1,2016-01-04,2016-01-01
1098,957,7069,2,2016-01-05,2016-01-01
1099,958,5017,3,2016-01-06,2016-01-01
1100,959,3192,4,2016-01-07,2016-01-01
1101,960,4838,5,2016-01-08,2016-01-01
1102,961,1063,6,2016-01-09,2016-01-01
1103,-1,0,7,2016-01-10,2016-01-01
1104,962,5227,1,2016-01-11,2016-01-01
1105,963,3848,2,2016-01-12,2016-01-01
1106,964,3631,3,2016-01-13,2016-01-01
1107,965,1899,4,2016-01-14,2016-01-01
1108,966,2978,5,2016-01-15,2016-01-01
1109,967,657,6,2016-01-16,2016-01-01
1110,-1,0,7,2016-01-17,2016-01-01
1111,968,3859,1,2016-01-18,2016-01-01
1112,969,4572,2,2016-01-19,2016-01-01
1113,970,3687,3,2016-01-20,2016-01-01
1114,971,2851,4,2016-01-21,2016-01-01
1115,972,2644,5,2016-01-22,2016-01-01
1116,973,429,6,2016-01-23,2016-01-01
1117,-1,0,7,2016-01-24,2016-01-01
1118,974,3637,1,2016-01-25,2016-01-01
1119,975,3865,2,2016-01-26,2016-01-01
1120,976,3499,3,2016-01-27,2016-01-01
1121,977,2374,4,2016-01-28,2016-01-01
1122,978,3880,5,2016-01-29,2016-01-01
1123,979,755,6,2016-01-30,2016-01-01
1124,-1,0,7,2016-01-31,2016-01-01
1125,980,5594,1,2016-02-01,2016-02-01
1126,981,5592,2,2016-02-02,2016-02-01
1127,982,4690,3,2016-02-03,2016-02-01
1128,983,4243,4,2016-02-04,2016-02-01
1129,984,4763,5,2016-02-05,2016-02-01
1130,985,1564,6,2016-02-06,2016-02-01
1131,-1,0,7,2016-02-07,2016-02-01
1132,-1,0,1,2016-02-08,2016-02-01
1133,-1,0,2,2016-02-09,2016-02-01
1134,-1,0,3,2016-02-10,2016-02-01
1135,986,24,4,2016-02-11,2016-02-01
1136,-1,0,5,2016-02-12,2016-02-01
1137,-1,0,6,2016-02-13,2016-02-01
1138,987,3664,7,2016-02-14,2016-02-01
1139,988,3610,1,2016-02-15,2016-02-01
1140,989,5537,2,2016-02-16,2016-02-01
1141,990,3369,3,2016-02-17,2016-02-01
1142,991,3054,4,2016-02-18,2016-02-01
1143,992,2735,5,2016-02-19,2016-02-01
1144,993,780,6,2016-02-20,2016-02-01
1145,-1,0,7,2016-02-21,2016-02-01
1146,994,3037,1,2016-02-22,2016-02-01
1147,995,3315,2,2016-02-23,2016-02-01
1148,996,2221,3,2016-02-24,2016-02-01
1149,997,1541,4,2016-02-25,2016-02-01
1150,998,1883,5,2016-02-26,2016-02-01
1151,999,564,6,2016-02-27,2016-02-01
1152,-1,0,7,2016-02-28,2016-02-01
1153,1000,2525,1,2016-02-29,2016-02-01
1154,1001,2627,2,2016-03-01,2016-03-01
1155,1002,2374,3,2016-03-02,2016-03-01
1156,1003,1618,4,2016-03-03,2016-03-01
1157,1004,2259,5,2016-03-04,2016-03-01
1158,1005,426,6,2016-03-05,2016-03-01
1159,-1,0,7,2016-03-06,2016-03-01
1160,1006,2203,1,2016-03-07,2016-03-01
1161,1007,2344,2,2016-03-08,2016-03-01
1162,1008,2392,3,2016-03-09,2016-03-01
1163,1009,1870,4,2016-03-10,2016-03-01
1164,1010,1772,5,2016-03-11,2016-03-01
1165,1011,610,6,2016-03-12,2016-03-01
1166,-1,0,7,2016-03-13,2016-03-01
1167,1012,2437,1,2016-03-14,2016-03-01
1168,1013,2326,2,2016-03-15,2016-03-01
1169,1014,1954,3,2016-03-16,2016-03-01
1170,1015,1569,4,2016-03-17,2016-03-01
1171,1016,1777,5,2016-03-18,2016-03-01
1172,1017,442,6,2016-03-19,2016-03-01
1173,-1,0,7,2016-03-20,2016-03-01
1174,1018,2476,1,2016-03-21,2016-03-01
1175,1019,1934,2,2016-03-22,2016-03-01
1176,1020,2048,3,2016-03-23,2016-03-01
1177,1021,1586,4,2016-03-24,2016-03-01
1178,1022,2268,5,2016-03-25,2016-03-01
1179,1023,506,6,2016-03-26,2016-03-01
1180,-1,0,7,2016-03-27,2016-03-01
1181,1024,3439,1,2016-03-28,2016-03-01
1182,1025,3208,2,2016-03-29,2016-03-01
1183,1026,2277,3,2016-03-30,2016-03-01
1184,1027,2144,4,2016-03-31,2016-03-01
